audio_file,audio_url,target_word,participant_id,l1_condition,pronunciation_condition,stimulus_list,word_number,condition,talker,take_number,spoken_form,practice_note,source_format,counterbalance_word_number,source_word_number,global_speaker_id,old_speaker_id,proposed_speaker_id,old_relative_path,osf_audio_file,original_pronunciation_label,source_pass_number,trial_number,talker_label
main/chn/accented/chn_s01/chn_s01_accented_pass03_word023_tweezers_take01_trial0123.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word023_tweezers_take01_trial0123.wav,tweezers,chn_s01,CHN,accented,,1,main,spk021,1,tweezers,,osf_crosswalk_osf,1,23,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word023_tweezers_take01_trial0123_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word023_tweezers_take01_trial0123.wav,intermediate_accent,03,123,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word002_persimmon_take01_trial0102.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word002_persimmon_take01_trial0102.wav,persimmon,chn_s01,CHN,accented,,2,main,spk021,1,persimmon,,osf_crosswalk_osf,2,2,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word002_persimmon_take01_trial0102_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word002_persimmon_take01_trial0102.wav,intermediate_accent,03,102,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word016_thermometer_take01_trial0116.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word016_thermometer_take01_trial0116.wav,thermometer,chn_s01,CHN,accented,,3,main,spk021,1,thermometer,,osf_crosswalk_osf,3,16,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word016_thermometer_take01_trial0116_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word016_thermometer_take01_trial0116.wav,intermediate_accent,03,116,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word047_razor_take01_trial0147.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word047_razor_take01_trial0147.wav,razor,chn_s01,CHN,accented,,4,main,spk021,1,razor,,osf_crosswalk_osf,4,47,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word047_razor_take01_trial0147_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word047_razor_take01_trial0147.wav,intermediate_accent,03,147,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word005_mantis_take01_trial0105.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word005_mantis_take01_trial0105.wav,mantis,chn_s01,CHN,accented,,5,main,spk021,1,mantis,,osf_crosswalk_osf,5,5,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word005_mantis_take01_trial0105_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word005_mantis_take01_trial0105.wav,intermediate_accent,03,105,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word050_pacifier_take01_trial0150.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word050_pacifier_take01_trial0150.wav,pacifier,chn_s01,CHN,accented,,6,main,spk021,1,pacifier,,osf_crosswalk_osf,6,50,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word050_pacifier_take01_trial0150_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word050_pacifier_take01_trial0150.wav,intermediate_accent,03,150,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word033_podium_take01_trial0133.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word033_podium_take01_trial0133.wav,podium,chn_s01,CHN,accented,,7,main,spk021,1,podium,,osf_crosswalk_osf,7,33,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word033_podium_take01_trial0133_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word033_podium_take01_trial0133.wav,intermediate_accent,03,133,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word030_labyrinth_take02_trial0130.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word030_labyrinth_take02_trial0130.wav,labyrinth,chn_s01,CHN,accented,,8,main,spk021,2,labyrinth,,osf_crosswalk_osf,8,30,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word030_labyrinth_take02_trial0130_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word030_labyrinth_take02_trial0130.wav,intermediate_accent,03,130,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word045_loquat_take01_trial0145.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word045_loquat_take01_trial0145.wav,loquat,chn_s01,CHN,accented,,9,main,spk021,1,loquat,,osf_crosswalk_osf,9,45,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word045_loquat_take01_trial0145_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word045_loquat_take01_trial0145.wav,intermediate_accent,03,145,f1_aria
main/chn/accented/chn_s01/chn_s01_accented_pass03_word026_scapula_take01_trial0126.wav,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/main/chn/accented/chn_s01/chn_s01_accented_pass03_word026_scapula_take01_trial0126.wav,scapula,chn_s01,CHN,accented,,10,main,spk021,1,scapula,,osf_crosswalk_osf,10,26,spk021,C2,chn_s01,CHN/C2_Accented/c2_chinese_pass03_intermediate_accent_word026_scapula_take01_trial0126_talker_f1_aria.wav,main/chn/accented/chn_s01/chn_s01_accented_pass03_word026_scapula_take01_trial0126.wav,intermediate_accent,03,126,f1_aria
